frame_id,source_set,source_label,output_label,reason,axis_assignment_candidates
wood_183705:000000,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000000.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000000.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
wood_183705:000088,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000088.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000088.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
wood_183705:000149,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000149.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000149.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
wood_183705:000213,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000213.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000213.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_0"", ""YAW_180""]"
wood_183705:000275,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000275.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000275.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_0"", ""YAW_180""]"
wood_183705:000335,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000335.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000335.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_0"", ""YAW_180""]"
wood_183705:000400,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000400.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000400.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_0"", ""YAW_180""]"
wood_183705:000460,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000460.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000460.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_0"", ""YAW_180""]"
wood_183705:000521,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000521.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000521.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
wood_183705:000586,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000586.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000586.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
wood_183705:000646,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000646.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000646.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
wood_183705:000706,wood_183705,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000706.json,challenge/real_gt_v2/migrated_gt_wood/manual_gt/wood_pallet_20260618_183705_manual_gt/000706.json,UNCONFIRMED_SIGNED_CANONICAL_AXIS,"[""YAW_90"", ""YAW_270""]"
