frame_id,source_recording,population_role,usage_role,controlled_eval_eligible,exclusion_reason,source_dataset,gt_source,manual_kps_present,manual_kps_usable_count,known_broken_before_temporal,known_broken_reason,FT_OVERLAP,paper_eval_recording_overlap,closure_eligible,closure_exclusion_reason
capturenight01_manual_gt__1779448594529620736,capturenight01,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight01_manual_gt__1779448595563677184,capturenight01,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight01_manual_gt__1779448629320837120,capturenight01,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight01_manual_gt__1779448633156790272,capturenight01,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight01_manual_gt__1779448641529222400,capturenight01,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight01_manual_gt__1779448648033896448,capturenight01,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448698918811392,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448711360824320,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448712694970368,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448713863113472,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448721234390272,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448722468782592,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448723536054784,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
capturenight02_manual_gt__1779448724837351936,capturenight02,DEV_UNVERIFIED,DEV_SUPPORT,false,UNVERIFIED_LEGACY,manual_gt_legacy,,True,8,False,,False,False,False,evaluation-ineligible: usage_role DEV_SUPPORT; workspace exclusion_reason UNVERIFIED_LEGACY
