sample_id,domain,image_path,annotation_path,session_id,scene_id,asset_id,frame_index,width,height,is_padded,has_pallet,annotation_source,annotation_quality,num_manual_keypoints,num_auto_filled_keypoints,num_visible_keypoints,pallet_width_m,pallet_depth_m,pallet_height_m,camera_intrinsic_source,sha256,split,image_exists
G/f0000,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0000_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0000_label.json,,,,0000,720,480,false,1,renderer,exact_synthetic,,,9,1.433516025543213,0.9751482009887695,0.16851578297416836,json:fx515.5,,,true
G/f0001,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0001_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0001_label.json,,,,0001,640,480,false,1,renderer,exact_synthetic,,,9,1.2867040091696265,1.2224952917022174,0.16365775978192704,json:fx679.9,,,true
G/f0002,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0002_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0002_label.json,,,,0002,560,560,false,1,renderer,exact_synthetic,,,9,0.9830507088918249,1.119839756405783,0.1535215019248426,json:fx605.9,,,true
G/f0003,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0003_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0003_label.json,,,,0003,640,480,false,1,renderer,exact_synthetic,,,9,1.1248197555541992,0.9720211029052734,0.14693674771115184,json:fx668.5,,,true
G/f0004,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0004_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0004_label.json,,,,0004,640,480,false,1,renderer,exact_synthetic,,,9,1.0890169143676758,1.2595438957214355,0.1590431509539485,json:fx355.4,,,true
G/f0005,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0005_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0005_label.json,,,,0005,960,540,false,1,renderer,exact_synthetic,,,9,0.7098970413208008,1.1944608688354492,0.13948822300881147,json:fx337.6,,,true
G/f0006,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0006_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0006_label.json,,,,0006,640,480,false,1,renderer,exact_synthetic,,,9,1.04990816116333,0.7982168197631836,0.1486037839204073,json:fx370.1,,,true
G/f0007,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0007_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0007_label.json,,,,0007,560,560,false,1,renderer,exact_synthetic,,,9,0.9384307861328136,1.1947970390319824,0.15785408904775977,json:fx474.7,,,true
G/f0008,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0008_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0008_label.json,,,,0008,960,540,false,1,renderer,exact_synthetic,,,9,0.9480963349342346,1.1623634099960327,0.19649732392281294,json:fx605.9,,,true
G/f0009,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0009_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0009_label.json,,,,0009,640,480,false,1,renderer,exact_synthetic,,,9,1.2011680603027344,0.9236640930175781,0.11051976960152388,json:fx366.3,,,true
G/f0010,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0010_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0010_label.json,,,,0010,640,480,false,1,renderer,exact_synthetic,,,9,0.7538883686065674,1.2222592830657975,0.136653917375952,json:fx435.4,,,true
G/f0011,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0011_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0011_label.json,,,,0011,560,560,false,1,renderer,exact_synthetic,,,9,1.2237294912338257,0.904891848564148,0.1887175589799881,json:fx605.9,,,true
G/f0012,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0012_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0012_label.json,,,,0012,720,480,false,1,renderer,exact_synthetic,,,9,1.0520910987179393,0.8781038030138025,0.13891035970300436,json:fx637.3,,,true
G/f0013,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0013_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0013_label.json,,,,0013,640,480,false,1,renderer,exact_synthetic,,,9,0.9185295104980469,1.3923423290252686,0.18153526045449553,json:fx619.3,,,true
G/f0014,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0014_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0014_label.json,,,,0014,960,540,false,1,renderer,exact_synthetic,,,9,1.333901047706604,1.0960872173309326,0.2008449314162135,json:fx605.9,,,true
G/f0015,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0015_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0015_label.json,,,,0015,960,540,false,1,renderer,exact_synthetic,,,9,1.4078049659729004,1.0128564834594727,0.1745976093225181,json:fx545.1,,,true
G/f0016,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0016_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0016_label.json,,,,0016,720,480,false,1,renderer,exact_synthetic,,,9,0.9804627299308777,0.9249779880046844,0.1528394529595971,json:fx605.9,,,true
G/f0017,generic_synth,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/rgb/f0017_rgb.png,data/pallet/training_data/paper_release/v2_prod40k_clean_merged/labels/f0017_label.json,,,,0017,640,480,false,1,renderer,exact_synthetic,,,9,0.8527407050132751,1.1787135601043701,0.12029942404478788,json:fx460.0,,,true
